Coal,Natural_gas,Petroleum,Nuclear_renewables_and_other,CO2_Emissions
25.37316863,28.20916196,27.04701448,20.16523949,5E
25.55263957,28.76774699,26.10955142,20.98710992,5E
23.16829202,29.21480262,26.48212623,21.1200042,5E
23.76749063,29.22356927,27.1831475,21.82267385,5E
24.0405472,30.61620472,28.05715287,22.95998808,5E
22.40469145,31.65109077,30.69623451,22.29099052,5E
21.802096,31.96779823,33.34571506,23.30114824,5E
22.02592139,33.94430199,37.08745595,23.84448867,5E
19.47328973,35.31980909,38.43438965,23.68052163,5E
16.17805543,34.76309929,37.33392712,24.51937163,5E
17.19311368,35.98814247,38.91288902,25.41537649,5E
16.83406354,39.7436206,43.40790436,25.68310125,5E
9.324734585,24.46937037,17.32681259,4.468235193,2B
9.541921259,24.71252312,18.52394641,4.640880122,2B
9.143245067,25.27260433,19.9263218,4.604235029,2B
9.897902682,26.12530061,21.9568778,4.682741894,2B
9.895361534,27.08788372,23.95126377,4.923903392,2B
10.47910853,27.63763865,24.786845,4.908850931,2B
10.90140835,28.21663923,25.7129174,4.933766637,2B
11.10232224,28.55913059,26.70244789,5.012879067,2B
11.53568882,28.84634793,26.64200864,4.881896525,2B
10.75784803,25.24550534,27.38654838,4.918819529,2B
11.50761677,27.66644506,28.07090064,5.059992195,2B
11.72495301,29.30850943,28.27362491,5.041618203,2B
12.68835068,28.99923174,28.58103217,5.039304191,2B
13.15500797,29.61926723,28.86509986,5.092533619,2B
12.77990039,29.1111275,29.09994215,5.124109767,2B
12.7020132,29.21940901,29.52881825,5.128568681,2B
12.82719814,29.15955792,29.93273834,5.251354887,2B
13.29834629,31.0538662,30.15089666,5.420589768,2B
14.09163328,32.63592958,30.66420641,5.363416997,2B
