,2000,CO2_2000,2001,CO2_2001,2002,CO2_2002,2003,CO2_2003,2004,CO2_2004,2005,CO2_2005,2006,CO2_2006,2007,CO2_2007,2008,CO2_2008,2009,CO2_2009,2010,CO2_2010,2011,CO2_2011,2012,CO2_2012,2013,CO2_2013,2014,CO2_2014,2015,CO2_2015,2016,CO2_2016,2017,CO2_2017,2018,CO2_2018
        Natural gas (quad Btu),11.03397095,,11.1571793,,11.46601305,,11.56203641,,12.00466537,,11.63057455,,11.22931141,,10.8078388,,11.20266279,,10.69050224,,11.03828268,,10.0543535,,10.17247134,,9.893548751,,9.229487395,,9.104128084,,9.045084548,,9.164586136,,8.703050408,
        Petroleum and other liquids (quad Btu),14.01232967,,14.07360779,,13.93078464,,13.42253071,,12.6737505,,11.6459742,,10.75575347,,10.22681506,,9.734519265,,9.182533763,,8.527709833,,7.78120563,,7.155795848,,6.755609488,,6.83008751,,7.129614986,,7.222234148,,7.102020204,,7.043460362,
"        Nuclear, renewables, and other (quad Btu)",16.51291742,,17.03161924,,16.752011,,16.51133065,,17.14461346,,17.21917129,,17.36113639,,17.23699851,,17.88477899,,17.73924086,,18.94684502,,18.69656713,,19.37184391,,20.2862819,,20.61376048,,20.81913939,,20.81514927,,20.82734154,,21.59148461,
            Nuclear (quad Btu),9.682216096,,10.02332401,,10.14664316,,10.12234765,,10.15866278,,9.99747741,,9.96243908,,9.405514891,,9.439058005,,8.997610737,,9.205266649,,9.100430889,,8.829743245,,8.782377352,,8.802744526,,8.551515129,,8.352416466,,8.255632375,,8.290995144,
            Renewables and other (quad Btu),6.830701322,,7.008295226,,6.605367832,,6.388982996,,6.985950674,,7.221693876,,7.398697309,,7.831483622,,8.445720981,,8.741630119,,9.741578369,,9.596136242,,10.54210067,,11.50390455,,11.81101596,,12.26762426,,12.4627328,,12.57170917,,13.30048946,
Middle East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Coal (quad Btu),0.032084443,,0.031118661,,0.028805625,,0.031926375,,0.034199902,,0.037908321,,0.037115114,,0.040092019,,0.038876784,,0.032162689,,0.030387779,,0.032481155,,0.029039685,,0.030834363,,0.029920444,,0.033670016,,0.037270719,,0.044049648,,0.047822611,
        Natural gas (quad Btu),7.926751928,,8.348298607,,9.13921935,,9.641008773,,10.43467773,,11.82779833,,12.5438149,,13.33461063,,14.32551072,,15.61067643,,17.7239848,,19.40706736,,20.47882473,,21.14149611,,21.60250108,,22.2214793,,23.01990363,,24.04080961,,24.58962071,
        Petroleum and other liquids (quad Btu),49.44553719,,47.70316681,,45.02500364,,47.95985072,,52.25374226,,54.13537649,,53.42430993,,52.31118538,,55.88726513,,52.4263283,,52.33593705,,56.9299623,,57.6551991,,56.63882999,,57.6880683,,60.620741,,64.78966919,,64.02652162,,64.75162137,
"        Nuclear, renewables, and other (quad Btu)",0.081781417,,0.097925841,,0.119715864,,0.158436,,0.164572896,,0.274012596,,0.287195123,,0.274573962,,0.117717362,,0.129891325,,0.176269884,,0.19609384,,0.22147534,,0.276630542,,0.240479114,,0.218200931,,0.289130275,,0.280753071,,0.304459285,
            Nuclear (quad Btu),,,,,,,,,,,,,,,,,,,,,,,0.001013015,,0.013730192,,0.040256654,,0.038502436,,0.033064122,,0.061248236,,0.065818074,,0.0651357,
            Renewables and other (quad Btu),0.081781417,,0.097925841,,0.119715864,,0.158436,,0.164572896,,0.274012596,,0.287195123,,0.274573962,,0.117717362,,0.129891325,,0.176269884,,0.195080824,,0.207745148,,0.236373888,,0.201976678,,0.185136809,,0.227882039,,0.214934997,,0.239323585,
North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Coal (quad Btu),24.40100982,,25.23375748,,24.30842346,,23.59200998,,24.46089962,,24.89986338,,25.54077284,,25.37316863,,25.55263957,,23.16829202,,23.76749063,,24.0405472,,22.40469145,,21.802096,,22.02592139,,19.47328973,,16.17805543,,17.19311368,,16.83406354,
        Natural gas (quad Btu),27.62483023,,28.27996543,,27.57179835,,27.72770714,,27.19687215,,26.84742997,,27.48979109,,28.20916196,,28.76774699,,29.21480262,,29.22356927,,30.61620472,,31.65109077,,31.96779823,,33.94430199,,35.31980909,,34.76309929,,35.98814247,,39.7436206,
        Petroleum and other liquids (quad Btu),27.41838065,,27.61665779,,27.86327858,,28.21994982,,28.12509957,,27.16946016,,27.20112578,,27.04701448,,26.10955142,,26.48212623,,27.1831475,,28.05715287,,30.69623451,,33.34571506,,37.08745595,,38.43438965,,37.33392712,,38.91288902,,43.40790436,
"        Nuclear, renewables, and other (quad Btu)",18.94863029,,17.98013509,,18.74442419,,18.58270831,,19.16783249,,19.54055514,,19.92353855,,20.16523949,,20.98710992,,21.1200042,,21.82267385,,22.95998808,,22.29099052,,23.30114824,,23.84448867,,23.68052163,,24.51937163,,25.41537649,,25.68310125,
            Nuclear (quad Btu),8.720525668,,8.933556103,,9.047405706,,8.861998044,,9.278596129,,9.243429827,,9.362850646,,9.55435299,,9.517532775,,9.418013563,,9.456960268,,9.362710133,,9.158342103,,9.462322016,,9.575549535,,9.535372029,,9.612070735,,9.605926066,,9.646605197,
            Renewables and other (quad Btu),10.22810462,,9.046578985,,9.69701848,,9.720710266,,9.889236364,,10.29712531,,10.5606879,,10.6108865,,11.46957715,,11.70199064,,12.36571358,,13.59727794,,13.13264842,,13.83882622,,14.26893914,,14.1451496,,14.90730089,,15.80945043,,16.03649606,
Eurasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Coal (quad Btu),9.324734585,,9.541921259,,9.143245067,,9.897902682,,9.895361534,,10.47910853,,10.90140835,,11.10232224,,11.53568882,,10.75784803,,11.50761677,,11.72495301,,12.68835068,,13.15500797,,12.77990039,,12.7020132,,12.82719814,,13.29834629,,14.09163328,
        Natural gas (quad Btu),24.46937037,,24.71252312,,25.27260433,,26.12530061,,27.08788372,,27.63763865,,28.21663923,,28.55913059,,28.84634793,,25.24550534,,27.66644506,,29.30850943,,28.99923174,,29.61926723,,29.1111275,,29.21940901,,29.15955792,,31.0538662,,32.63592958,
        Petroleum and other liquids (quad Btu),17.32681259,,18.52394641,,19.9263218,,21.9568778,,23.95126377,,24.786845,,25.7129174,,26.70244789,,26.64200864,,27.38654838,,28.07090064,,28.27362491,,28.58103217,,28.86509986,,29.09994215,,29.52881825,,29.93273834,,30.15089666,,30.66420641,
"        Nuclear, renewables, and other (quad Btu)",4.468235193,,4.640880122,,4.604235029,,4.682741894,,4.923903392,,4.908850931,,4.933766637,,5.012879067,,4.881896525,,4.918819529,,5.059992195,,5.041618203,,5.039304191,,5.092533619,,5.124109767,,5.128568681,,5.251354887,,5.420589768,,5.363416997,
            Nuclear (quad Btu),2.148252366,,2.190068183,,2.304445265,,2.415015269,,2.441788352,,2.454916349,,2.547513131,,2.608738853,,2.622503636,,2.559456718,,2.696875284,,2.735743948,,2.779920567,,2.651218752,,2.79188484,,2.9247096,,2.858182951,,2.973895667,,2.87422094,
            Renewables and other (quad Btu),2.319982827,,2.450811939,,2.299789764,,2.267726625,,2.48211504,,2.453934582,,2.386253506,,2.404140214,,2.259392889,,2.359362811,,2.363116911,,2.305874255,,2.259383624,,2.441314868,,2.332224927,,2.203859081,,2.393171936,,2.446694101,,2.489196057,
